time,js.latency,js.accuracy,js.throughput,jet.latency,jet.accuracy,jet.throughput
1,64.9722,0.9702380952,9.96668,56.6438,0.9702380952,12.342056
2,41.5604,0.975,12.48002667,36.3111,0.975,13.394376
3,39.9011,0.9621212121,13.55219733,37,0.9621212121,12.954328
4,40.5393,0.8820960699,13.251264,34.6897,0.8820960699,16.80330667
5,44.4157,0.8057553957,16.51835733,37.4615,0.8057553957,13.75496267
6,44.2889,0.9230769231,13.954288,38.9432,0.9230769231,14.95758133
7,46.0667,0.932038835,15.05978667,41.2333,0.932038835,13.797752
8,44.2088,0.9347826087,14.18187467,40.8202,0.9347826087,13.47004267
9,43.8444,0.9115646259,13.35437067,40.0333,0.9115646259,12.351128
10,43.3111,0.9084507042,12.24037067,39.0333,0.9084507042,10.73664267
11,43.4333,0.8510638298,10.76213333,39.5281,0.8510638298,12.02168267
12,43.0333,0.9106382979,12.18180267,39.0778,0.9106382979,11.12535467
13,42.9667,0.960960961,11.19865333,38.6629,0.960960961,11.506744
14,43.2,0.9792284866,11.44888267,38.5111,0.9792284866,10.64799467
15,42.4333,0.9747292419,10.888872,39.3523,0.9747292419,10.82685333
16,42.9889,0.9012345679,10.95139733,38.1778,0.9012345679,13.057856
17,43.9222,0.9021276596,13.33198667,40.0667,0.9021276596,15.65169333
18,45.7444,0.9485714286,16.02162133,42.5281,0.9485714286,13.05600267
19,43.7978,0.9174311927,12.50531733,40.0111,0.9174311927,13.24745867
20,43,0.9261083744,13.512896,39.8778,0.9261083744,13.27989867
21,45.2778,0.9281045752,13.186984,41.4831,0.9281045752,11.87004
22,43.3407,0.9132075472,11.83680267,38.7556,0.9132075472,10.78546933
23,42.7,0.8289473684,10.800992,37.7528,0.8289473684,11.201768
24,43.4111,0.819047619,11.52198667,39.2222,0.819047619,14.03600267
25,44.5169,0.9618320611,14.33171467,40.9551,0.9618320611,15.51580267
26,46.1556,0.873015873,15.61763733,41.8778,0.873015873,15.939848
27,46.0889,0.9315068493,16.40567467,42.2584,0.9315068493,13.978672
28,43.8889,0.7438016529,13.127744,40.4556,0.7438016529,13.31866133
29,43.9333,0.8965517241,13.547616,40.3778,0.8965517241,11.87258667
30,43.0333,0.9221556886,11.84238133,39.0674,0.9221556886,10.42987733
31,43.5217,0.9212121212,10.17893067,38.3708,0.9212121212,9.048546667
32,42.3034,0.9789473684,9.031938667,37.3556,0.9789473684,10.68212533
33,43.6923,0.9333333333,11.53529867,39.1348,0.9333333333,12.33869067
34,43.2247,0.9230769231,12.39430933,38.9667,0.9230769231,14.92286133
35,45.4667,0.9398907104,15.31664,41.6222,0.9398907104,13.58328533
36,43.6111,0.9818181818,13.23622133,39.8764,0.9818181818,13.49571467
37,43.9326,0.9333333333,13.52502667,40.5333,0.9333333333,13.363008
38,44.5333,0.9444444444,13.523968,40.3933,0.9444444444,14.86244
39,45.6667,0.8672566372,15.34859467,41.6222,0.8672566372,15.61707467
40,45.4333,0.8452380952,15.68505067,41.9438,0.8452380952,14.93499467
41,46.2967,0.875502008,14.95860267,43.2955,0.875502008,14.25066667
42,44.4556,0.9510086455,14.09062667,41.3187,0.9510086455,12.62211467
43,43.6333,0.96875,12.4026,40.7528,0.96875,12.446512
44,43.6629,0.9716088328,12.725456,40.809,0.9716088328,13.035344
45,43.7889,0.9584487535,12.97836533,40.6111,0.9584487535,12.719032
46,43.9111,0.9262672811,12.967736,40.9438,0.9262672811,14.01831467
47,44.6444,0.9192825112,14.39754133,41.7778,0.9192825112,14.024312
48,43.8333,0.9637305699,13.845848,41.4444,0.9637305699,14.11570133
49,44.8222,0.9027237354,14.41353867,41.8202,0.9027237354,13.47304267
50,43.7143,0.930875576,13.33164,41.1461,0.930875576,14.33174133
51,46.2222,0.9164086687,14.727208,42.4505,0.9164086687,15.10249333
52,45.2308,0.9018404908,15.351048,41.6333,0.9018404908,14.41720267
53,45.1348,0.9090909091,14.534448,40.8182,0.9090909091,13.523048
54,43.6889,0.8925619835,12.853832,40.1,0.8925619835,11.81442933
55,42.9663,0.9153846154,11.427392,38.0787,0.9153846154,10.67229333
56,42.3667,0.8181818182,10.25816267,38.7222,0.8181818182,11.27989333
57,43.6556,0.8811188811,11.964312,39.1011,0.8811188811,14.39459733
58,45.8556,0.9197860963,15.54564533,41.3556,0.9197860963,14.41898667
59,44.3,0.9411764706,14.14796533,40.6292,0.9411764706,12.76537333
60,42.6333,0.9333333333,12.00230667,39.1,0.9333333333,12.13018133
61,44.764,0.9702380952,12.32327467,41.3483,0.9702380952,12.208488
62,44.1429,0.975,12.44389333,41.8652,0.975,13.05398667
63,43.7444,0.9621212121,13.39480533,41.1556,0.9621212121,13.24512
64,44.3708,0.8820960699,13.24969867,41.0899,0.8820960699,15.60677333
65,46.7253,0.8057553957,16.83526933,42.5667,0.8057553957,14.79504267
66,44.4607,0.9230769231,13.83506933,41.8556,0.9230769231,14.65812533
67,45.0667,0.932038835,15.00564533,42.6292,0.932038835,14.17052
68,44.8222,0.9347826087,13.96689067,41.4222,0.9347826087,13.590296
69,44.3187,0.9115646259,13.55281867,40.9778,0.9115646259,12.723808
70,42.7,0.9084507042,12.28204,40.1667,0.9084507042,11.38962667
71,43.6556,0.8510638298,10.762632,39.3778,0.8510638298,11.66074133
72,43.4556,0.9106382979,12.13998133,38.5444,0.9106382979,11.485816
73,42.9667,0.960960961,11.22851733,38,0.960960961,11.23586667
74,42.967,0.9792284866,11.57102133,38.3258,0.9792284866,11.11167733
75,43.1778,0.9747292419,10.84093067,38.2556,0.9747292419,10.87386133
