time,js.latency,js.accuracy,js.throughput,jet.latency,jet.accuracy,jet.throughput
1,76.9437,0.8932806324,11.11421067,43,0.9104820199,12.14158667
2,43.5934,0.846921797,12.54082667,48.1023,0.8821233411,11.55707467
3,43.9326,0.8489208633,11.50007467,45.2333,0.8531951641,11.94530133
4,43.9022,0.8984310487,11.51245867,44.7253,0.9343065693,12.54323467
5,45.1573,0.8587848933,11.04639733,48.6818,0.851098454,11.505248
6,45.5824,0.8778501629,11.24853067,51.0899,0.8850393701,10.72097867
7,44.6136,0.8732394366,10.742896,50.0769,0.8892380204,11.81689067
8,45.6778,0.8996539792,11.34081067,56.8556,0.906144497,13.00660533
9,45.4348,0.8824688116,11.79554667,51.9545,0.9008317338,11.08413333
10,45.8427,0.8546895641,11.79236,50.9451,0.8971608833,11.79164267
11,48.0674,0.8775376555,12.61498933,51.4157,0.8776425368,11.83432267
12,45.9333,0.8773006135,12.188296,50.0333,0.9015725102,11.79466133
13,45.9444,0.8588588589,12.54469333,52.3333,0.9024110218,12.28351733
14,46.0889,0.8714462299,12.60407733,52.2637,0.8899579074,12.65653867
15,46.4556,0.8566084788,12.49790667,52.6067,0.8737034777,12.74738667
16,46.1648,0.875,13.260024,52.2556,0.8863221884,12.91354133
17,46.5111,0.8761363636,13.42326133,54.5,0.9118773946,13.049384
18,46.5,0.8479262673,13.53165333,58.7444,0.9124931205,14.13277867
19,46.8778,0.8574752763,13.82277867,53.9556,0.8910329171,13.09873067
20,46.967,0.8674203494,13.94488,53.3678,0.878695209,12.3016
21,49.6,0.8745119911,14.57114667,53.7363,0.908008658,12.67317333
22,46.1222,0.9042056075,13.644896,53.8889,0.9108571429,12.85329867
23,46.4889,0.827244582,13.51173333,52.0111,0.8340175953,12.69088533
24,46.8022,0.8257668712,13.97366933,52.7033,0.845508982,12.714568
25,46.7865,0.8276299113,13.82286133,53.4831,0.8679950187,12.708096
26,46.7444,0.8435599779,13.67939733,52.7444,0.8866200967,13.31381867
27,46.3667,0.8553524804,13.82898133,53.1556,0.878757515,13.54984533
28,47.1111,0.865060241,13.84197067,61.1011,0.8748538012,13.961448
29,47.3333,0.864898211,13.63859467,52.9889,0.888358209,12.505072
30,47.2667,0.8450029922,13.76993867,52.9341,0.8464203233,12.64822133
31,49.8667,0.8882318155,14.603472,53.2778,0.8883826879,12.782032
32,46.3556,0.844267727,13.48850133,53.1136,0.8806064435,12.81697867
33,46.6111,0.866152768,13.68146667,53.011,0.8866396761,12.59152
34,47.1818,0.8525252525,13.602016,52.9205,0.8828125,12.11760267
35,47.1538,0.8464467005,14.010928,52.978,0.9102167183,12.47841067
36,46.4944,0.8808864266,13.43866133,52.7111,0.9162759545,12.23602133
37,46.5556,0.8580990629,13.572688,53.2333,0.8678756477,12.35369867
38,46.4778,0.8170391061,13.38275733,58.7667,0.8618638467,13.55429333
39,46.2444,0.8376623377,13.15350667,52.1444,0.8905950096,12.06179733
40,46.0562,0.8565629229,13.32417867,51.7333,0.8578778135,12.214016
41,49.9556,0.8528301887,14.15332,51.6444,0.8738738739,12.049728
42,46.3222,0.8449612403,12.86403467,51.2444,0.8957992362,12.19685867
43,46.2556,0.8060046189,13.06296,53.5444,0.8932714617,12.33563733
44,46.3444,0.8311390956,12.889528,52.8778,0.885361552,12.42033067
45,46.4945,0.8262857143,13.22287467,54.6556,0.8831318365,12.35394133
46,46.1573,0.8588445503,13.05965067,52.3034,0.910938434,12.83700267
47,46.7582,0.8507183011,13.56429067,54.6556,0.8786558805,12.00135733
48,46.3596,0.806671721,12.96907733,56.0889,0.8483516484,12.747392
49,46.6703,0.8651778329,13.66292533,52.0444,0.8595943838,12.022848
50,46.0333,0.8743169399,12.46881333,48.5111,0.8851590106,11.34508533
51,49.2333,0.8932806324,13.586848,49.5444,0.9104820199,11.62423733
52,45.9556,0.846921797,12.40785067,52.3222,0.8821233411,12.39567467
53,46.1236,0.8489208633,11.515424,51.2667,0.8531951641,12.02729067
54,45.5778,0.8984310487,11.27074667,51.8667,0.9343065693,12.11468533
55,44.8222,0.8587848933,11.161792,52.7,0.851098454,11.90630133
56,45.1429,0.8778501629,11.25448267,51.8111,0.8850393701,11.139688
57,45.5056,0.8732394366,10.87002133,51.0444,0.8892380204,11.417264
58,45.3667,0.8996539792,11.32708,57.4556,0.906144497,13.001912
59,45.8667,0.8824688116,11.52050133,50.4886,0.9008317338,11.07037867
60,46.4222,0.8546895641,11.942808,52.2308,0.8971608833,12.13304533
61,48.3,0.8775376555,12.74294667,52.8778,0.8776425368,11.841176
62,45.9326,0.8773006135,12.04790133,50.8889,0.9015725102,11.80155467
63,46.1648,0.8588588589,12.67397067,50.6593,0.9024110218,12.649896
64,46.2778,0.8714462299,12.60015733,52.9674,0.8899579074,12.65201067
65,46.1556,0.8566084788,12.508352,51.4773,0.8737034777,12.32481067
66,46.0778,0.875,13.09445067,53.3444,0.8863221884,12.89274933
67,46.4,0.8761363636,13.41262667,53.5761,0.9118773946,13.45934667
68,46.3111,0.8479262673,13.536768,58.2889,0.9124931205,14.17216
69,47.1111,0.8574752763,13.81847467,51.3667,0.8910329171,13.091688
70,46.8556,0.8674203494,13.76746133,53.1236,0.878695209,12.764408
71,49.6556,0.8745119911,14.60658667,51,0.908008658,12.68308267
72,46.7889,0.9042056075,13.634608,51.4556,0.9108571429,12.83709067
73,46.4778,0.827244582,13.52563467,53.5056,0.8340175953,12.687912
74,46.6,0.8257668712,13.802752,52.4348,0.845508982,12.713672
75,47.2556,0.8276299113,13.97457867,52.2472,0.8679950187,12.74692
76,46.3736,0.8435599779,13.84544533,52.7363,0.8866200967,13.271408
77,46.6477,0.8553524804,13.505928,52.6667,0.878757515,13.487576
78,47.2967,0.865060241,14.00939733,59.5333,0.8748538012,14.03183733
79,47.0667,0.864898211,13.65562933,52.3556,0.888358209,12.51411467
