time,tcp.throughput,tcp.latency,tcp.accuracy,ads.throughput,ads.latency,ads.accuracy,udp.throughput,udp.latency,udp.accuracy,app.throughput,app.latency,app.accuracy,mnl.throughput,mnl.latency,mnl.accuracy,jet.throughput,jet.latency,jet.accuracy
205,7213.021667,4941.203333,0.899166667,6967.261667,36.03583333,0.834166667,6431.81936,26.04490644,0.676549865,6941.3575,998.0075,0.655,7233.5575,3895.4825,0.8725,7812.4912,580.56912,0.899166667
210,7171.35,7081.893333,0.866666667,5682.25,286.5141667,0.8775,8207.99128,27.95119728,0,6550.6525,1184.7075,0.64,7176.16,3736.3925,0.8975,7116.552,707.4008,0.856061228
215,7173.146667,8690.094167,0.945833333,6270.256667,216.4083333,0.835,8229.29208,21.67523633,0,6827.1925,760.9225,0.4525,7173.1775,3808.315,0.825,7055.5728,432.16764,0.834310311
220,7172.72,11165.45,0.955,6698.286667,271.0991667,0.920833333,8196.62544,23.76701272,0,7066.5625,678.0675,0.575,7172.115,3783.2375,0.8075,7078.8704,292.738,0.782789532
225,7173.223333,13623.32917,0.921666667,6628.945,131.5725,0.908333333,8310.1872,21.25735795,0,7143.875,1159.96,0.575,7172.6325,3870.8275,0.7325,7155.702933,537.8278,0.829616964
230,7173.6,16322.6875,0.8575,6529.953333,98.46833333,0.8675,7329.95456,21.48615522,0,7171.7425,1883.4,0.5775,7172.295,3863.1,0.77,7155.9536,1125.774,0.842132557
235,7173.6775,18598.5075,0.960833333,6422.654167,76.69,0.888333333,7412.20032,20.50732055,0,6875.16,1484.4775,0.775,7173.205,3748.8825,0.8775,4233.856,268.04536,0.678967263
240,7172.305833,20931.505,0.939166667,6781.314167,335.7525,0.9175,8510.45568,29.55544567,0,6359.8775,1179.655,0.8175,7173.9025,3759.09,0.8175,6826.44,359.1772,0.767503473
245,7172.926667,23409.54417,0.9325,6120.871667,52.22416667,0.855,6675.73336,29.55371883,0,6499.265,867.6725,0.77,7173.5475,3662.1975,0.835,6783.3328,725.9014,0.835483648
250,7172.763333,25947.38583,0.919166667,5807.5575,100.4791667,0.9175,7417.75816,29.79713881,0,6932.4725,622.4775,0.7475,7173.085,3699.9525,0.8875,5346.530133,483.68,0.651306317
255,7173.141667,28366.88417,0.901666667,6629.1825,163.4633333,0.890833333,7197.40056,20.94679956,0,7142.13,830.015,0.7075,7172.6675,3642.3225,0.855,5999.120533,498.2652,0.852886315
260,7172.648333,30288.01167,0.880833333,6562.3525,270.3483333,0.869166667,8590.6508,27.56589115,0,7171.1,1276.47,0.645,7172.86,3799.485,0.795,6892.642667,296.2532,0.797440307
265,7173.27,32744.8025,0.930833333,5905.694167,55.54583333,0.814166667,6579.5368,20.86513518,0,7172.6075,1258.0675,0.675,7172.835,3643.9775,0.735,6968.448533,539.032,0.818961909
270,7173.425833,34902.24,0.968333333,6645.775,276.3316667,0.9175,8510.03376,29.20438213,0,6320.92,782.0375,0.555,7174.0575,3599.2125,0.76,6982.170667,383.7224,0.853492836
275,7172.895833,37523.08,0.873333333,6899.5675,283.0725,0.835,7882.40632,24.7575997,0,6307.07,930.6925,0.64,7173.5225,3751.7475,0.875,7172.690667,892.5996,0.802940128
280,7171.793333,40050.96417,0.929166667,6826.25,210.5658333,0.930833333,8096.23008,29.65148856,0,6755.495,997.665,0.645,7173.1675,3684.345,0.845,5933.7264,577.424,0.81072825
285,7172.431667,42251.64333,0.915833333,6710.9075,221.4625,0.908333333,7956.35576,20.92716305,0,7141.41,882.1975,0.625,7173.485,3770.6075,0.84,7103.9968,502.7382,0.831181413
290,7173.191667,44151.42833,0.933333333,5956.246667,33.45083333,0.865,7504.56552,29.94073745,0,7170.915,1401.4125,0.6825,7173.3475,3653.67,0.8625,6622.881067,635.2494,0.739533714
295,7172.415,46033.09917,0.938333333,6279.425,44.835,0.904166667,8235.1112,22.20225866,0,6936.1,1070.5775,0.75,7172.6825,3789.7125,0.855,5707.024533,335.2856,0.696852533
300,7172.105833,48558.1275,0.930833333,6828.940833,165.165,0.909166667,7560.4456,26.15084948,0,6597.4975,1271.58,0.71,7171.05,3857.19,0.8175,7137.343467,524.7594,0.842914781
305,7173.360833,50739.895,0.924166667,6117.293333,54.68,0.853333333,6431.12024,24.46182624,0.01529052,6667.6175,1702.8625,0.7675,7172.8225,3636.18,0.7375,6514.8848,984.9354,0.642275234
