time, OfflineBW, OfflineAcc, OnlineBW, OnlineAcc, Online_1_10BW, Online_1_10Acc, Online_TriggerBW, Online_TriggerAcc
0,   9.73,   0.92,   9.73,   0.92,   9.73,   0.92,   9.73,   0.92
1,   8.43,   0.91,   8.43,   0.91,   8.43,   0.91,   8.43,   0.91
2,   9.22,   0.89,   9.22,   0.89,   9.22,   0.89,   9.22,   0.89
3,   9.17,   0.92,   9.17,   0.92,   9.17,   0.92,   9.17,   0.92
4,   9.54,   0.93,   9.54,   0.93,   9.54,   0.93,   9.54,   0.93
5,   9.28,   0.90,   9.28,   0.90,   9.28,   0.90,   9.28,   0.90
6,   9.40,   0.92,   9.40,   0.92,   9.40,   0.92,   9.40,   0.92
7,  11.28,   0.87,  11.28,   0.87,  11.28,   0.87,  11.28,   0.87
8,  10.17,   0.90,  10.17,   0.90,   6.89,   0.89,  10.17,   0.90
9,   9.93,   0.91,   9.93,   0.91,   6.73,   0.90,   9.93,   0.91
10,  10.22,   0.90,  10.22,   0.90,   6.70,   0.88,  10.22,   0.90
11,  21.51,   0.84,  21.51,   0.84,  21.51,   0.84,  21.51,   0.84
12,  20.90,   0.92,  14.92,   0.89,  20.90,   0.92,  14.92,   0.89
13,  21.93,   0.90,  10.03,   0.88,  21.93,   0.90,  10.03,   0.88
14,  21.21,   0.90,   9.31,   0.88,   9.31,   0.88,   9.31,   0.88
15,  20.87,   0.93,   8.96,   0.90,   8.96,   0.90,   8.96,   0.90
16,  20.87,   0.88,   9.72,   0.87,   9.72,   0.87,   9.72,   0.87
17,  21.31,   0.91,   9.60,   0.88,   9.60,   0.88,   9.60,   0.88
18,  22.55,   0.91,  10.19,   0.86,  10.19,   0.86,  10.19,   0.86
19,  21.48,   0.89,   9.02,   0.88,   9.02,   0.88,   9.02,   0.88
20,  20.77,   0.94,   9.89,   0.92,   9.89,   0.92,   9.89,   0.92
21,  19.06,   0.96,   8.87,   0.93,   8.87,   0.93,   8.87,   0.93
22,  18.61,   0.94,   8.94,   0.92,   8.94,   0.92,   8.94,   0.92
23,  18.08,   0.90,   9.02,   0.88,   9.02,   0.88,   9.02,   0.88
