time,tcp.throughput,tcp.latency,tcp.accuracy,ads.throughput,ads.latency,ads.accuracy,udp.throughput,udp.latency,udp.accuracy,jet.throughput,jet.latency,jet.accuracy
5,13563.82417,22.65583333,0.92,13324.6725,21.7275,0.903333333,14473.1484,20,0.925867508,13666.29333,40.01266,0.92
10,11537.54167,22.09333333,0.95,11941.39667,21.90833333,0.92,11933.75384,20,0.917880795,11207.68373,39.02644,0.95
15,13508.37,22.635,0.92,13482.9875,21.62833333,0.939166667,14537.06552,20,0.939104916,13167.9728,40.1323,0.92
20,12949.87917,22.08833333,0.896666667,12086.46417,21.67,0.91,13888.4268,20,0.909494725,12234.63573,39.63376,0.896666667
25,13226.6925,22.86666667,0.881666667,14421.5175,21.66083333,0.870833333,14243.91104,20,0.900534759,14125.11413,40.8074,0.881666667
30,13143.30417,22.84083333,0.95,11150.805,21.66333333,0.938333333,13312.20048,20,0.86892489,11484.42027,39.09002,0.95
35,15059.91,23.37666667,0.898333333,13538.56583,21.61583333,0.943333333,15823.87936,20,0.926998841,14184.30453,40.8738,0.898333333
40,13237.375,22.84083333,0.954166667,13809.58083,21.68833333,0.92,14159.30776,20,0.920765027,13457.9264,41.35742,0.954166667
45,13860.405,22.83916667,0.93,13875.13417,21.71333333,0.94,15245.34936,20,0.953667954,13670.08053,41.42646,0.93
50,12612.0325,22.83333333,0.9,14676.02833,21.665,0.91,13991.73336,20,0.940835267,13837.78293,40.61614,0.9
55,13064.28417,22.83333333,0.931666667,13554.38167,21.70833333,0.9,14393.07192,20,0.909446254,12706.2288,39.78162,0.931666667
60,14694.35833,22.88083333,0.928333333,12966.74417,21.72083333,0.954166667,15018.2392,20,0.923800564,13248.90987,41.60514,0.928333333
65,13121.51,22.90583333,0.92,14298.97667,21.68583333,0.905833333,14073.97384,20,0.934697089,13987.5584,41.4103,0.92
70,11355.13167,22.835,0.95,11923.49833,21.665,0.93,12163.03048,20,0.925432756,11376.7456,38.50072,0.95
75,13425.42667,24.585,0.921666667,13668.07,21.58,0.93,14523.57208,20,0.946204864,13019.288,39.75304,0.921666667
80,13633.51167,22.92333333,0.885833333,11770.90667,24.12333333,0.901666667,14301.26736,20,0.915649279,12240.34347,39.60166,0.885833333
85,12555.02417,22.93916667,0.891666667,14159.04417,21.65083333,0.884166667,13238.99144,20,0.89434365,14265.432,40.40438,0.891666667
90,13322.09083,22.90416667,0.951666667,11519.12667,21.65,0.938333333,14047.88384,20,0.858806405,11337.12373,38.90502,0.951666667
95,15051.07417,22.84333333,0.890833333,14099.9875,21.73,0.939166667,16114.29384,20,0.933333333,14089.76533,40.49186,0.890833333
100,13227.3125,22.89,0.95,13487.69,21.6875,0.931666667,13956.04928,20,0.929155313,13690.3344,41.21284,0.95
105,14202.13917,22.875,0.93,14065.61833,21.645,0.931666667,15511.48088,20,0.951519069,13659.67947,41.29514,0.93
110,12023.93583,22.83916667,0.898333333,14046.57,21.6525,0.91,13233.85392,20,0.928529924,13915.6,40.44956,0.898333333
115,12864.3225,22.84083333,0.941666667,13737.80583,21.64583333,0.906666667,14538.88304,20,0.909809085,12610.85387,39.46236,0.941666667
120,14444.51083,22.88333333,0.92,13608.3825,21.685,0.94,15641.4044,20,0.920634921,13235.5168,40.39196,0.92
125,12374.29333,22.8525,0.918333333,13977.9375,21.64666667,0.9175,13504.81888,20,0.927330174,13956.27307,40.29322,0.918333333
130,11569.5425,22.84333333,0.949166667,11736.68417,21.68333333,0.94,12424.0532,20,0.918774967,11476.05707,38.35258,0.949166667
135,13174.4175,22.92166667,0.928333333,13435.58583,21.66166667,0.929166667,14270.8484,20,0.94875549,12952.52427,39.64316,0.928333333
140,14520.66667,22.90666667,0.8775,12094.9775,21.72916667,0.9,15243.3368,20,0.901874311,12420.56533,39.31886,0.8775
145,11212.1275,22.86666667,0.900833333,13955.315,21.66916667,0.889166667,12021.05376,20,0.884120172,14014.70347,40.43828,0.900833333
150,13393.48417,22.88333333,0.95,12078.57333,21.66666667,0.94,14502.44152,20,0.856296296,11551.5904,39.02166,0.95
155,14767.97583,23.39166667,0.900833333,14473.88583,21.66666667,0.929166667,16065.54616,20,0.946882217,14019.4208,40.52282,0.900833333
