time,tcp.throughput,tcp.latency,tcp.accuracy,ads.throughput,ads.latency,ads.accuracy,udp.throughput,udp.latency,udp.accuracy,jet.throughput,jet.latency,jet.accuracy
5,11586.88083,21.41583333,0.863333333,734.5983333,17.60416667,0.761666667,12361.27056,20,0.765892653,11902.27307,52.24084,0.863333333
10,11771.03583,20.09833333,0.886666667,1460.985833,17.76083333,0.8,13382.68712,20,0.790003048,12730.0736,52.79186,0.886666667
15,12750.49417,20.00833333,0.89,6260.335833,17.705,0.84,13552.9468,20,0.784850498,13011.91627,54.7386,0.89
20,12796.83,19.9775,0.901666667,11168.4075,17.7,0.891666667,13400.42472,20,0.785160039,12995.44267,52.8195,0.901666667
25,13141.29667,20.01333333,0.89,11996.66,17.6725,0.86,13721.10424,20,0.833044769,12942.7504,54.6831,0.89
30,12741.28667,20.0025,0.89,12797.805,17.63166667,0.9,13569.51528,20,0.858534323,12355.45067,52.97078,0.89
35,12390.3525,20.81666667,0.9,12738.82833,17.56666667,0.9,13894.25224,20,0.871855038,12415.33867,53.10664,0.9
40,12152.92583,20.755,0.88,12869.08833,17.62666667,0.89,13582.7316,20,0.879714172,12389.65387,53.60736,0.88
45,12363.52167,20.70583333,0.890833333,12687.00083,17.6025,0.890833333,13789.50992,20,0.898798906,12027.04747,51.7022,0.890833333
50,11963.265,20.72916667,0.9075,12216.82667,17.6325,0.9,12370.42552,20,0.881222707,11721.04587,51.73778,0.9075
55,11568.69917,20.735,0.863333333,12270.84417,18.33916667,0.870833333,12764.97888,20,0.895850692,11969.61333,52.78834,0.863333333
60,11760.71833,20.78333333,0.886666667,12160.19583,17.6075,0.9,13349.91064,20,0.901123596,12795.76267,52.4049,0.886666667
65,12755.0425,20.75,0.89,12017.87417,17.64583333,0.88,13415.8424,20,0.911306866,13109.68587,53.04696,0.89
70,12811.50167,20.62583333,0.901666667,11570.9325,16.8925,0.891666667,13809.71184,20,0.901327434,12981.4976,52.71812,0.901666667
75,13094.2,20.64833333,0.89,12080.20917,16.85166667,0.86,13538.17832,20,0.892771661,12867.99627,54.40866,0.89
80,12743.38583,21.34916667,0.89,12801.94583,16.86333333,0.9,13534.30384,20,0.885375494,12443.23627,61.7147,0.89
85,12372.4525,20.64416667,0.9,12728.87417,16.87,0.9,14106.282,20,0.898617512,12414.56107,54.35754,0.9
90,12164.85833,20.70333333,0.88,12809.1475,16.8275,0.89,13508.3496,20,0.879337539,11914.18933,108.36612,0.88
95,12334.37,20.66666667,0.890833333,12661.34667,16.79916667,0.890833333,13615.88696,20,0.893832392,12017.72053,51.07554,0.890833333
100,11979.43167,20.6175,0.9075,12210.32083,16.84833333,0.9,12354.86648,20,0.868794326,11748.2752,51.2025,0.9075
105,11576.40083,20.665,0.863333333,12276.13667,16.76583333,0.870833333,12761.15336,20,0.900083403,12045.464,51.82434,0.863333333
110,11692.87167,20.69583333,0.886666667,12196.48667,16.79416667,0.9,13415.68528,20,0.9,12519.39787,65.6613,0.886666667
115,12764.06833,20.69916667,0.89,11998.47917,16.82083333,0.88,13569.57432,20,0.904738761,13200.41867,54.11572,0.89
120,12797.50417,20.6925,0.901666667,11562.4575,16.835,0.891666667,13559.3728,20,0.887604225,12872.41547,52.66196,0.901666667
125,13176.79333,20.715,0.89,12034.84833,16.75166667,0.86,13791.79664,20,0.878867834,13067.23947,53.35346,0.89
