"time","js.latency","js.accuracy","js.throughput","jet.latency","jet.accuracy","jet.throughput","aws.latency","aws.throughput","aws.accuracy","tcp.latency","tcp.throughput","tcp.accuracy"
5,44.4157,0.805755396,16.51835733,37.4615,0.805755396,13.75496267,26.5333333333333,0.311936,0.7071,76.5,12.086936,0.9725
6,44.2889,0.923076923,13.954288,38.9432,0.923076923,14.95758133,21.0333333333333,0.49516,0.6809,45.2446666666667,12.2225573333333,0.975
7,46.0667,0.932038835,15.05978667,41.2333,0.932038835,13.797752,35.2343333333333,1.019184,0.9195,43.625,13.4002986666667,0.963
8,44.2088,0.934782609,14.18187467,40.8202,0.934782609,13.47004267,38.1846666666667,2.15693866666667,0.6458,44.6546666666667,13.7743573333333,0.8658
9,43.8444,0.911564626,13.35437067,40.0333,0.911564626,12.351128,37.3336666666667,4.45821333333333,0.4895,46.589,15.909344,0.8321
10,43.3111,0.908450704,12.24037067,39.0333,0.908450704,10.73664267,35.8776666666667,5.311544,0.8945,46.7653333333333,14.85464,0.9262
11,43.4333,0.85106383,10.76213333,39.5281,0.85106383,12.02168267,37.789,12.48924,0.9288,45.5343333333333,15.1080506666667,0.9308
12,43.0333,0.910638298,12.18180267,39.0778,0.910638298,11.12535467,38.1183333333333,13.7162746666667,0.9293,45.5666666666667,14.1753306666667,0.9293
13,42.9667,0.960960961,11.19865333,38.6629,0.960960961,11.506744,38.1,13.267032,0.9167,43.883,13.6440586666667,0.9153
14,43.2,0.979228487,11.44888267,38.5111,0.979228487,10.64799467,37.9553333333333,12.4472613333333,0.9084,43.9043333333333,12.7864213333333,0.9044
15,42.4333,0.974729242,10.888872,39.3523,0.974729242,10.82685333,37.6266666666667,11.0811466666667,0.8609,42.8553333333333,11.1958106666667,0.869
16,42.9889,0.901234568,10.95139733,38.1778,0.901234568,13.057856,36.911,11.7127013333333,0.9061,42.1,11.3731493333333,0.9061
17,43.9222,0.90212766,13.33198667,40.0667,0.90212766,15.65169333,37.5823333333333,11.755824,0.9628,42.7933333333333,11.929288,0.9628
18,45.7444,0.948571429,16.02162133,42.5281,0.948571429,13.05600267,37.006,11.1514906666667,0.9846,42.3173333333333,11.3387466666667,0.9846
19,43.7978,0.917431193,12.50531733,40.0111,0.917431193,13.24745867,36.9556666666667,10.678088,0.9619,42.402,10.914384,0.9619
20,43,0.926108374,13.512896,39.8778,0.926108374,13.27989867,37.686,11.9668933333333,0.9223,41.8776666666667,11.705248,0.9223
21,45.2778,0.928104575,13.186984,41.4831,0.928104575,11.87004,38.4426666666667,14.445992,0.9065,44.178,13.5024453333333,0.9065
22,43.3407,0.913207547,11.83680267,38.7556,0.913207547,10.78546933,38.6556666666667,15.7554453333333,0.943,45.8,15.116392,0.943
23,42.7,0.828947368,10.800992,37.7528,0.828947368,11.201768,37.466,12.6149066666667,0.9146,45.0063333333333,13.6116933333333,0.9146
24,43.4111,0.819047619,11.52198667,39.2222,0.819047619,14.03600267,38.5776666666667,13.851976,0.9292,45.008,13.525728,0.9302
25,44.5169,0.961832061,14.33171467,40.9551,0.961832061,15.51580267,37.9153333333333,12.709832,0.9268,45.167,13.109184,0.9262
26,46.1556,0.873015873,15.61763733,41.8778,0.873015873,15.939848,37.1,11.201872,0.8992,43.6646666666667,11.7920453333333,0.8981
