"time","js.latency","js.accuracy","js.throughput","jet.latency","jet.accuracy","jet.throughput","aws.latency","aws.throughput","aws.accuracy","tcp.latency","tcp.throughput","tcp.accuracy","udp.throughput","udp.latency","udp.accuracy"
5,45.1573,0.858784893,11.04639733,48.6818,0.851098454,11.505248,74.1666666666667,0.452744,0.8235,114.926,11.8011813333333,0.9242,12361.27056,33,0.765892653
6,45.5824,0.877850163,11.24853067,51.0899,0.88503937,10.72097867,21.8333333333333,0.369664,0.75,67.6333333333333,11.6786026666667,0.9099,12361.27056,33,0.765892653
7,44.6136,0.873239437,10.742896,50.0769,0.88923802,11.81689067,69.7223333333333,0.741797333333333,0.7887,67.5333333333333,11.5820826666667,0.8734,12361.27056,33,0.765892653
8,45.6778,0.899653979,11.34081067,56.8556,0.906144497,13.00660533,63.8056666666667,1.23944533333333,0.8994,69.3666666666667,11.954,0.9443,12361.27056,33,0.765892653
9,45.4348,0.882468812,11.79554667,51.9545,0.900831734,11.08413333,79.6666666666667,1.15620266666667,0.8696,70.2726666666667,12.6513226666667,0.8954,12361.27056,33,0.765892653
10,45.8427,0.854689564,11.79236,50.9451,0.897160883,11.79164267,31.518,2.42399466666667,0.8659,69.4243333333333,12.850544,0.9045,13382.68712,33,0.790003048
11,48.0674,0.877537656,12.61498933,51.4157,0.877642537,11.83432267,75.6,3.93498933333333,0.8415,68.7666666666667,11.9159173333333,0.9188,13382.68712,33,0.790003048
12,45.9333,0.877300614,12.188296,50.0333,0.90157251,11.79466133,37.4,2.15874666666667,0.8745,66.7,11.3973946666667,0.9535,13382.68712,33,0.790003048
13,45.9444,0.858858859,12.54469333,52.3333,0.902411022,12.28351733,37.2223333333333,2.11114133333333,0.8913,66.1333333333333,11.3440666666667,0.9263,13382.68712,33,0.790003048
14,46.0889,0.87144623,12.60407733,52.2637,0.889957907,12.65653867,37.511,2.220816,0.8456,70.1666666666667,12.037392,0.9146,13382.68712,33,0.790003048
15,46.4556,0.856608479,12.49790667,52.6067,0.873703478,12.74738667,39.293,3.30009333333333,0.8626,72.4666666666667,12.3525946666667,0.899,13552.9468,33,0.784850498
16,46.1648,0.875,13.260024,52.2556,0.886322188,12.91354133,36.0666666666667,2.552776,0.8847,67.3666666666667,11.6213813333333,0.9308,13552.9468,33,0.784850498
17,46.5111,0.876136364,13.42326133,54.5,0.911877395,13.049384,50.3186666666667,2.86960266666667,0.8805,68.0333333333333,11.843808,0.9418,13552.9468,33,0.784850498
18,46.5,0.847926267,13.53165333,58.7444,0.912493121,14.13277867,54.1443333333333,3.27380266666667,0.8736,68.4,11.8181333333333,0.9065,13552.9468,33,0.784850498
19,46.8778,0.857475276,13.82277867,53.9556,0.891032917,13.09873067,45.366,4.38014133333333,0.8725,69.0333333333333,12.058696,0.8935,13552.9468,33,0.784850498
20,46.967,0.867420349,13.94488,53.3678,0.878695209,12.3016,74.1333333333333,5.57593866666667,0.9375,71.5,13.0274,0.9084,13400.42472,33,0.785160039
21,49.6,0.874511991,14.57114667,53.7363,0.908008658,12.67317333,71.1,5.57684,0.934,72.391,13.645808,0.9242,13400.42472,33,0.785160039
22,46.1222,0.904205608,13.644896,53.8889,0.910857143,12.85329867,74.689,5.60587733333333,0.931,72.7666666666667,12.8663306666667,0.9322,13400.42472,33,0.785160039
