bandwidth,width,skip,quant,accuracy
    0.03,  320,  2, 50, 0.003
    0.03,  320, 29, 40, 0.129
    0.03,  640, 29, 50, 0.052
    0.04,  320, 14, 40, 0.195
    0.04,  640,  9, 50, 0.072
    0.04,  640, 14, 50, 0.054
    0.05,  320,  0, 50, 0.000
    0.05,  320,  9, 40, 0.172
    0.05,  640,  5, 50, 0.065
    0.06,  320,  5, 40, 0.181
    0.06,  960, 29, 50, 0.087
    0.07,  320,  2, 40, 0.094
    0.07,  640,  2, 50, 0.032
    0.07,  960, 14, 50, 0.125
    0.08,  320, 29, 30, 0.306
    0.08,  960,  9, 50, 0.131
    0.09,  640, 29, 40, 0.264
    0.09,  960,  5, 50, 0.076
    0.09, 1280, 29, 50, 0.145
    0.10,  320,  0, 40, 0.079
    0.11, 1280,  9, 50, 0.208
    0.11, 1280, 14, 50, 0.176
    0.12,  640, 14, 40, 0.345
    0.12,  960,  2, 50, 0.053
    0.13,  320, 14, 30, 0.438
    0.13,  640,  9, 40, 0.389
    0.13, 1280,  5, 50, 0.161
    0.13, 1600, 29, 50, 0.195
    0.14,  640,  0, 50, 0.005
    0.15,  640,  5, 40, 0.431
    0.15, 1600, 14, 50, 0.263
    0.16,  320,  9, 30, 0.486
    0.16, 1600,  9, 50, 0.282
    0.17,  960, 29, 40, 0.310
    0.18,  640,  2, 40, 0.411
    0.18, 1280,  2, 50, 0.093
    0.18, 1920, 29, 50, 0.231
    0.19, 1600,  5, 50, 0.239
    0.20,  320, 29, 20, 0.362
    0.20, 1920, 14, 50, 0.265
    0.21,  320,  5, 30, 0.527
    0.21,  960, 14, 40, 0.444
    0.22, 1920,  9, 50, 0.306
    0.23,  960,  9, 40, 0.443
    0.24,  640,  0, 40, 0.226
    0.24,  640, 29, 30, 0.358
    0.25, 1280, 29, 40, 0.369
    0.25, 1600,  2, 50, 0.139
    0.25, 1920,  5, 50, 0.264
    0.26,  960,  0, 50, 0.024
    0.26,  960,  5, 40, 0.490
    0.29,  960,  2, 40, 0.506
    0.31,  320,  2, 30, 0.511
    0.31,  320, 14, 20, 0.470
    0.32, 1280, 14, 40, 0.419
    0.34, 1280,  9, 40, 0.470
    0.34, 1920,  2, 50, 0.171
    0.35,  640, 14, 30, 0.525
    0.35, 1600, 29, 40, 0.339
    0.38,  960,  0, 40, 0.368
    0.38, 1280,  0, 50, 0.040
    0.39, 1280,  5, 40, 0.540
    0.40,  320,  9, 20, 0.545
    0.41,  960, 29, 30, 0.357
    0.42,  320, 29, 10, 0.341
    0.42,  640,  9, 30, 0.569
    0.43, 1280,  2, 40, 0.530
    0.44, 1600, 14, 40, 0.471
    0.47, 1920, 29, 40, 0.336
    0.48, 1600,  9, 40, 0.518
    0.51, 1600,  0, 50, 0.080
    0.54,  320, 29,  0, 0.344
    0.54,  640,  5, 30, 0.646
    0.54, 1600,  5, 40, 0.559
    0.55,  320,  0, 30, 0.435
    0.55,  320,  5, 20, 0.621
    0.56, 1280,  0, 40, 0.438
    0.60,  960, 14, 30, 0.540
    0.60, 1920, 14, 40, 0.470
    0.61, 1600,  2, 40, 0.568
    0.62, 1280, 29, 30, 0.363
    0.63,  640, 29, 20, 0.367
    0.66, 1920,  9, 40, 0.531
    0.69, 1920,  0, 50, 0.084
    0.70,  960,  9, 30, 0.614
    0.71,  320, 14, 10, 0.493
    0.73, 1920,  5, 40, 0.589
    0.77,  640,  2, 30, 0.694
    0.78, 1600,  0, 40, 0.509
    0.82, 1920,  2, 40, 0.594
    0.86,  320,  2, 20, 0.670
    0.86,  960,  5, 30, 0.691
    0.89, 1600, 29, 30, 0.381
    0.91, 1280, 14, 30, 0.528
    0.97,  320,  9, 10, 0.573
    0.97,  640, 14, 20, 0.549
    1.05, 1920,  0, 40, 0.524
    1.06, 1280,  9, 30, 0.600
    1.07,  320, 14,  0, 0.495
    1.13,  960, 29, 20, 0.366
    1.14,  960,  2, 30, 0.752
    1.22,  640,  9, 20, 0.618
    1.25, 1920, 29, 30, 0.378
    1.26, 1600, 14, 30, 0.542
    1.28,  640,  0, 30, 0.663
    1.29, 1280,  5, 30, 0.709
    1.38,  640, 29, 10, 0.376
    1.40,  320,  5, 10, 0.663
    1.49, 1600,  9, 30, 0.621
    1.58,  320,  9,  0, 0.573
    1.64,  640,  5, 20, 0.722
    1.66, 1280,  2, 30, 0.768
