bandwidth,width,skip,quant,accuracy
    0.02,  640,  9, 50, 0.001
    0.02,  640, 14, 50, 0.002
    0.02,  640, 29, 50, 0.009
    0.03,  640,  2, 50, 0.000
    0.03,  640,  5, 50, 0.000
    0.03,  960, 29, 50, 0.257
    0.04,  640,  0, 50, 0.001
    0.04,  960,  9, 50, 0.186
    0.04,  960, 14, 50, 0.221
    0.05,  960,  2, 50, 0.070
    0.05,  960,  5, 50, 0.140
    0.05, 1280, 29, 50, 0.436
    0.06,  960,  0, 50, 0.008
    0.06, 1280,  9, 50, 0.302
    0.06, 1280, 14, 50, 0.407
    0.07,  640, 29, 40, 0.072
    0.07, 1280,  5, 50, 0.263
    0.07, 1600, 29, 50, 0.524
    0.08, 1280,  2, 50, 0.158
    0.08, 1600,  9, 50, 0.486
    0.08, 1600, 14, 50, 0.512
    0.09,  640, 14, 40, 0.064
    0.09, 1280,  0, 50, 0.046
    0.09, 1920, 29, 50, 0.575
    0.10,  640,  9, 40, 0.077
    0.10, 1600,  5, 50, 0.413
    0.10, 1920, 14, 50, 0.563
    0.11,  960, 29, 40, 0.538
    0.11, 1600,  2, 50, 0.257
    0.11, 1920,  9, 50, 0.485
    0.12,  640,  5, 40, 0.075
    0.12, 1600,  0, 50, 0.123
    0.12, 1920,  5, 50, 0.431
    0.14,  640,  2, 40, 0.056
    0.14,  960, 14, 40, 0.585
    0.14, 1920,  2, 50, 0.314
    0.15, 1920,  0, 50, 0.116
    0.16,  640,  0, 40, 0.039
    0.16,  960,  9, 40, 0.586
    0.16, 1280, 29, 40, 0.666
    0.18,  960,  5, 40, 0.569
    0.20,  640, 29, 30, 0.094
    0.20, 1280, 14, 40, 0.722
    0.21,  960,  2, 40, 0.537
    0.21, 1600, 29, 40, 0.677
    0.23, 1280,  9, 40, 0.725
    0.24,  960,  0, 40, 0.464
    0.26, 1280,  5, 40, 0.714
    0.26, 1600, 14, 40, 0.733
    0.27,  640, 14, 30, 0.121
    0.29, 1920, 29, 40, 0.701
    0.30, 1280,  2, 40, 0.706
    0.30, 1600,  9, 40, 0.735
    0.33,  640,  9, 30, 0.112
    0.33,  960, 29, 30, 0.597
    0.34, 1280,  0, 40, 0.633
    0.34, 1600,  5, 40, 0.721
    0.34, 1920, 14, 40, 0.755
    0.39, 1600,  2, 40, 0.710
