"time","tcp.throughput","tcp.latency","tcp.accuracy","aws.throughput","aws.latency","aws.accuracy","udp.throughput","udp.latency","udp.accuracy"
0,1067.9425,39.5375,NA,434.1675,31.6025,NA,1230.4925,23.8325,NA
5,1240.6325,42.5875,NA,412.1275,34.475,NA,1365.7975,24.91,NA
10,1255.3625,42.955,NA,669.2875,35.9625,NA,1320.93,24.9575,NA
15,1258.175,43.185,0.990476190476191,865.97,37.0875,0.966666666666667,1256.125,24.8975,0.990476190476191
20,1257.42,43.5625,0.997108843537415,1140.775,38.6175,0.95765306122449,1289.38,25.035,0.997108843537415
25,1256.6925,43.1875,0.988775510204082,1250.0075,38.96,0.960374149659864,1318.1975,24.99,0.98843537414966
30,1258.08,43.4675,0.989285714285714,1255.805,39.0875,0.979591836734694,1277.475,25.0775,0.989285714285714
35,1256.2275,43.1775,0.99030612244898,1257.76,39.0075,0.990136054421769,1280.97,24.9775,0.99030612244898
40,1257.3575,42.98,0.996428571428572,1258.675,39,0.99625850340136,1242.42,25.035,0.996428571428572
45,1258.8475,43.125,0.98078231292517,1257.6625,38.955,0.98078231292517,1335.7675,24.9675,0.98078231292517
50,1255.0475,43.405,0.989285714285714,1257.2425,38.985,0.989285714285714,1285.0525,24.7575,0.987925170068027
55,1255.8525,42.98,0.99047619047619,1217.6125,39,0.990646258503401,1346.4175,24.745,0.990646258503401
60,1234.5625,42.8425,0.998809523809524,1215.1475,38.965,0.998469387755102,1243.5875,24.6275,0.998979591836735
65,1212.93,43.2425,0.988605442176871,1224.0025,38.935,0.988605442176871,980.915,24.715,0.98843537414966
70,1208.3675,42.125,0.989795918367347,1222.05,38.4875,0.989625850340136,1335.345,24.555,0.989455782312925
75,1254.035,41.8275,0.998639455782313,1254.0275,38.44,0.998639455782313,1267.4125,24.5925,0.998469387755102
80,1258.8925,41.755,0.983163265306122,1258.71,38.4725,0.983163265306122,1325.715,24.67,0.983333333333333
85,1258.82,41.65,0.998299319727891,1258.92,38.5575,0.998469387755102,1224.0825,24.5475,0.998469387755102
90,1256.8025,41.7075,0.99608843537415,1259.3975,38.505,0.99608843537415,1322.56,24.625,0.99608843537415
95,1257.47,41.7875,0.988945578231293,1257.715,38.665,0.997619047619048,1343.215,24.51,0.988945578231293
