hls.latency,hls.accuracy,hls.throughput
2017,0.975,11340.16
2023,0.9621212121,11696.608
2057,0.8820960699,12404.992
2103,0.3442622951,12823.104
2382,0.9230769231,3293.76
1966,0.932038835,12078.624
2073,0.9347826087,13970.656
2046,0.9115646259,12687.744
2068,0.9084507042,12597.504
2016,0.8510638298,10788.192
2001,0.9106382979,9741.408
2093,0.960960961,11260.448
2085,0.9792284866,10518.976
2098,0.9747292419,10227.2
2096,0.9012345679,9581.984
2145,0.9021276596,10063.264
2287,0.9485714286,12740.384
2420,0.9174311927,15077.6
2263,0.9261083744,11009.28
2331,0.9281045752,11967.328
2354,0.9132075472,11684.576
2339,0.8289473684,10980.704
2328,0.819047619,10076.8
2387,0.9618320611,10740.064
2550,0.873015873,13981.184
2617,0.9315068493,14871.552
2657,0.7438016529,15220.48
2501,0.8965517241,10989.728
2594,0.9221556886,12507.264
2533,0.9212121212,10583.648
2467,0.9789473684,8380.288
2504,0.9333333333,8672.064
2639,0.9230769231,11119.072
2704,0.7674418605,12062.08
2955,0.9818181818,1258.848
2512,0.9333333333,11559.744
2606,0.9444444444,12603.52
2610,0.8672566372,12621.568
2750,0.8452380952,15178.368
2768,0.875502008,14823.424
2735,0.9510086455,13704.448
2734,0.96875,13116.384
2694,0.9716088328,11540.192
2731,0.9584487535,11853.024
2763,0.9262672811,12027.488
2812,0.9192825112,12544.864
2449,0.9637305699,13704.448
2087,0.9027237354,13128.416
2055,0.930875576,13266.784
2042,0.9164086687,12379.424
2121,0.9018404908,13567.584
2149,0.9090909091,13724
2188,0.8925619835,13945.088
2108,0.9153846154,11607.872
2063,0.8181818182,9992.576
2062,0.8811188811,9422.56
2204,0.9197860963,12161.344
2319,0.9411764706,14149.632
2294,0.9333333333,13032.16
2212,0.9702380952,10564.096
2275,0.975,11471.008
2277,0.9621212121,10961.152
2321,0.8820960699,11495.072
2410,0.8057553957,12940.416
2538,0.9230769231,15262.592
2513,0.932038835,14121.056
2567,0.9347826087,14912.16
2480,0.9115646259,12278.656
2453,0.9084507042,11189.76
2465,0.8510638298,10893.472
2450,0.9106382979,9960.992
2527,0.960960961,11107.04
2590,0.9792284866,11998.912
2620,0.9747292419,12156.832
2835,0.9012345679,16565.056
2984,0.9021276596,19461.76
2946,0.9485714286,18007.392
2964,0.9174311927,17888.576
2910,0.9261083744,16070.24
2773,0.9281045752,12370.4
2819,0.9132075472,12916.352
2836,0.8289473684,12462.144
2358,0.819047619,11194.272
1952,0.9618320611,12194.432
1845,0.873015873,10379.104
1967,0.9315068493,12599.008
2178,0.7438016529,16700.416
2153,0.8965517241,15584.448
2104,0.9221556886,14023.296
3673,0.9212121212,25506.336
3234,0.9789473684,11696.608
3399,0.9333333333,12404.992
3573,0.9230769231,12823.104
3875,0.9398907104,16193.568
3856,0.9818181818,12078.624
3497,0.9333333333,13970.656
3116,0.9444444444,12687.744
3078,0.8672566372,12597.504
3025,0.8452380952,10788.192
3003,0.875502008,9741.408
3094,0.9510086455,11260.448
3084,0.96875,10518.976
3095,0.9716088328,10227.2
3093,0.9584487535,9581.984
3140,0.9262672811,10063.264
3279,0.9192825112,12740.384
3405,0.9637305699,15077.6
3252,0.9027237354,11009.28
3324,0.930875576,11967.328
3338,0.9164086687,11684.576
3360,0.9018404908,10980.704
3318,0.9090909091,10076.8
3367,0.8925619835,10740.064
3529,0.9153846154,13981.184
3599,0.8181818182,14871.552
3636,0.8811188811,15220.48
3477,0.9197860963,10989.728
3567,0.9411764706,12507.264
3508,0.9333333333,10583.648
3437,0.9702380952,8380.288
3477,0.975,8672.064
3608,0.9621212121,11119.072
3672,0.8820960699,12062.08
3804,0.8057553957,14509.088
3701,0.9230769231,11559.744
3777,0.932038835,12603.52
3797,0.9347826087,12621.568
3935,0.9115646259,15178.368
3615,0.9084507042,14823.424
3252,0.8510638298,13704.448
3234,0.9106382979,13116.384
3190,0.960960961,11540.192
3231,0.9792284866,11853.024
3261,0.9747292419,12027.488
3308,0.9012345679,12544.864
3426,0.9021276596,13704.448
3390,0.9485714286,13128.416
3422,0.9174311927,13266.784
3413,0.9261083744,12379.424
3489,0.9281045752,13567.584
3521,0.9132075472,13724
3560,0.8289473684,13945.088
3484,0.819047619,11607.872
3439,0.9618320611,9992.576
3441,0.873015873,9422.56
3590,0.9315068493,12161.344
3699,0.7438016529,14149.632
3682,0.8965517241,13032.16
3598,0.9221556886,10564.096
3666,0.9212121212,11471.008
3673,0.9789473684,10961.152
3743,0.9333333333,11495.072
3812,0.9230769231,12940.416
3971,0.9398907104,15262.592
3623,0.9818181818,14121.056
3307,0.9333333333,14912.16
3185,0.9444444444,12278.656
3159,0.8672566372,11189.76
3174,0.8452380952,10893.472
3157,0.875502008,9960.992
3233,0.9510086455,11107.04
3300,0.96875,11998.912
3334,0.9716088328,12156.832
3557,0.9584487535,16565.056
3707,0.9262672811,19461.76
3671,0.9192825112,18007.392
3693,0.9637305699,17888.576
3638,0.9027237354,16070.24
3506,0.930875576,12370.4
3556,0.9164086687,12916.352
3569,0.9018404908,12462.144
3534,0.9090909091,11194.272
3607,0.8925619835,12194.432
3552,0.9153846154,10379.104
3677,0.8181818182,12599.008
3891,0.8811188811,16700.416
3861,0.9197860963,15584.448
3816,0.9411764706,14023.296
4347,0.9333333333,25506.336
3905,0.9702380952,11696.608
4081,0.975,12404.992
4260,0.9621212121,12823.104
4564,0.8820960699,16193.568
4538,0.8057553957,12078.624
4778,0.9230769231,13970.656
4763,0.932038835,12687.744
4805,0.9347826087,12597.504
4312,0.9115646259,10788.192
3800,0.9084507042,9741.408
3855,0.8510638298,11260.448
3839,0.9106382979,10518.976
3847,0.960960961,10227.2
3841,0.9792284866,9581.984
3888,0.9747292419,10063.264
4028,0.9012345679,12740.384
4150,0.9021276596,15077.6
3998,0.9485714286,11009.28
5231,0.8660714286,11967.328
5494,0.9119170984,2830.528
5614,0.9315960912,7559.104
5616,0.9253731343,6844.704
5671,0.4838709677,7258.304
5864,0.7692307692,1729.6
5839,0.9481481481,6534.88
5803,0.8992248062,6619.104
5513,0.9324324324,4803.776
5359,0.7438016529,5790.4
5130,0.8648648649,4746.624
4688,0.8098159509,3740.448
4283,0.8915662651,3996.128
4433,0.9111111111,4978.24
4516,0.9281045752,5405.376
4755,0.940397351,6903.36
4574,0.9120879121,5462.528
4616,0.9680365297,5591.872
4656,0.9044585987,5701.664
4920,0.9333333333,7387.648
4953,0.7818181818,7073.312
4828,0.8263473054,5985.92
4842,0.820083682,6029.536
4821,0.9449275362,5697.152
4797,0.9568627451,5375.296
4874,0.9567901235,5751.296
4943,0.9602272727,6067.136
5030,0.9035294118,6495.776
5011,0.9164785553,6204
4997,0.9375,5931.776
4955,0.9011857708,5465.536
5093,0.9158878505,6253.632
5140,0.8978328173,6431.104
5189,0.8714733542,6519.84
5070,0.8945454545,5557.28
4725,0.9010989011,4435.296
4321,0.8863636364,3993.12
4496,0.8358208955,5149.696
4694,0.8344370861,6369.44
4641,0.9139784946,5818.976
4490,0.9361702128,4572.16
4606,0.9130434783,5148.192
4577,0.954954955,4847.392
4600,0.9712460064,4821.824
4743,0.9541984733,5638.496
4921,0.8711111111,6727.392
4921,0.8456375839,6527.36
5005,0.9356223176,6952.992
4831,0.8903654485,5555.776
4756,0.8972972973,4827.84
4764,0.8571428571,4716.544
4744,0.8345323741,4397.696
4859,0.7972027972,5039.904
4941,0.8927038627,5438.464
4975,0.9176470588,5494.112
5312,0.9580838323,7686.944
5663,0.9530685921,9341.344
5846,0.8789808917,8145.664
6682,0.8830022075,4382.656
6256,0.8816793893,3874.304
5714,0.8660714286,3017.024
5175,0.8481675393,3078.688
4762,0.8794788274,3071.168
4169,0.8702290076,2675.616
3801,0.84,3168.928
3750,0.7339449541,2621.472
3831,0.9172932331,3021.536
4085,0.9291338583,4657.888
4129,0.9154929577,4782.72
