time,udp.throughput,udp.latency,udp.accuracy
0,14473.1484,33,0.925867508
5,14473.1484,33,0.925867508
10,11933.75384,33,0.917880795
15,14537.06552,33,0.939104916
20,13888.4268,33,0.909494725
25,14243.91104,33,0.900534759
30,13312.20048,33,0.86892489
35,15823.87936,33,0.926998841
40,14159.30776,33,0.920765027
45,15245.34936,33,0.953667954
50,13991.73336,33,0.940835267
55,14393.07192,33,0.909446254
60,15018.2392,33,0.923800564
65,14073.97384,33,0.934697089
70,12163.03048,33,0.925432756
75,14523.57208,33,0.946204864
80,14301.26736,33,0.915649279
85,13238.99144,33,0.89434365
90,14047.88384,33,0.858806405
95,16114.29384,33,0.933333333
100,13956.04928,33,0.929155313
105,15511.48088,33,0.951519069
110,13233.85392,33,0.928529924
115,14538.88304,33,0.909809085
120,15641.4044,33,0.920634921
125,13504.81888,33,0.927330174
130,12424.0532,33,0.918774967
135,14270.8484,33,0.94875549
140,15243.3368,33,0.901874311
145,12021.05376,33,0.884120172
150,14502.44152,33,0.856296296
155,16065.54616,33,0.946882217
160,14331.88832,33,0.699236641
165,15348.56392,33,0.849774339
170,13567.06744,33,0.850375505
175,14014.1828,33,0.907991941
180,15726.96864,33,0.916044776
185,13108.39456,33,0.934920635
190,13199.37744,33,0.918774967
195,12337.16592,33,0.941089838
200,8416.57208,33,0.923503326
205,6431.81936,33,0.676549865
210,8207.99128,33,0
215,8229.29208,33,0
220,8196.62544,33,0
225,8310.1872,33,0
230,7329.95456,33,0
235,7412.20032,33,0
240,8510.45568,33,0
245,6675.73336,33,0
250,7417.75816,33,0
255,7197.40056,33,0
260,8590.6508,33,0
265,6579.5368,33,0
270,8510.03376,33,0
275,7882.40632,33,0
280,8096.23008,33,0
285,7956.35576,33,0
290,7504.56552,33,0
295,8235.1112,33,0
300,7560.4456,33,0
305,6431.12024,33,0.01529052
310,7852.5056,33,0
315,7764.60392,33,0
320,7189.834,33,0
325,7564.79504,33,0
330,8749.3272,33,0
335,7412.23504,33,0
340,8270.70552,33,0
345,7041.03608,33,0
350,7888.95784,33,0
355,8550.40528,33,0
360,7026.3164,33,0
365,7017.48296,33,0
370,7288.53896,33,0
375,5790.038,33,0
380,4628.80536,33,0
385,5744.91008,33,0
390,5886.736,33,0
395,5518.55104,33,0
400,5975.48568,33,0
405,5191.72848,33,0
410,5063.15488,33,0
415,6314.58896,33,0
420,4584.08704,33,0
425,5462.86128,33,0
430,8597.24128,33,0
435,15556.836,33,0
440,12415.73416,33,0
445,15654.61496,33,0.049618321
450,14550.68376,33,0.267489712
455,14924.01112,33,0.922018349
460,14845.894,33,0.92
465,13894.456,33,0.946692357
470,14792.30664,33,0.940634006
475,14736.36024,33,0.910678308
480,12038.15632,33,0.926553672
485,14435.5508,33,0.934920635
490,13572.632,33,0.732035928
495,14782.26984,33,0.925619835
500,12967.68248,33,0.879532164
505,15705.3804,33,0.909487459
510,14180.08744,33,0.868421053
515,15122.73632,33,0.932261768
520,14107.39224,33,0.700617284
525,14275.71376,33,0.626356589
530,15154.71048,33,0.940427993
535,14140.3604,33,0.912
540,12030.66592,33,0.922357343
545,14732.51384,33,0.929976397
550,14132.02144,33,0.832386364
555,13527.4872,33,0.93745401
560,13883.91944,33,0.913783635
565,16051.26104,33,0.902255639
570,14078.75488,33,0.892537313
575,15282.54992,33,0.923255814
580,13410.34176,33,0.915662651
585,14494.69896,33,0.944516129
590,15552.61328,33,0.91108545
595,13588.16344,33,0.89442623
600,12409.19576,33,0.924369748
605,14160.44408,33,0.934920635
610,15377.6004,33,0.810773481
615,11904.23984,33,0.748585287
620,14700.42264,33,0.881527232
625,16137.49216,33,0.900647948
630,14234.04984,33,0.870588235
635,14234.04984,33,0.870588235
