"V1","latency"
13119.7434666667,40.42122
13666.2933333333,40.01266
11207.6837333333,39.02644
13167.9728,40.1323
12234.6357333333,39.63376
14125.1141333333,40.8074
11484.4202666667,39.09002
14184.3045333333,40.8738
13457.9264,41.35742
13670.0805333333,41.42646
13837.7829333333,40.61614
12706.2288,39.78162
13248.9098666667,41.60514
13987.5584,41.4103
11376.7456,38.50072
13019.288,39.75304
12240.3434666667,39.60166
14265.432,40.40438
11337.1237333333,38.90502
14089.7653333333,40.49186
13690.3344,41.21284
13659.6794666667,41.29514
13915.6,40.44956
12610.8538666667,39.46236
13235.5168,40.39196
13956.2730666667,40.29322
11476.0570666667,38.35258
12952.5242666667,39.64316
12420.5653333333,39.31886
14014.7034666667,40.43828
11551.5904,39.02166
14019.4208,40.52282
13859.0330666667,40.38618
13580.4245333333,39.94862
13927.9765333333,40.47142
12759.2837333333,40.22898
13047.3482666667,40.33396
14010.0042666667,40.83548
11492.9925333333,39.51188
12932.6938666667,41.29958
12449.5669333333,40.4667
7812.4912,580.56912
7116.552,707.4008
7055.5728,432.16764
7078.8704,292.738
7155.70293333333,537.8278
7155.9536,1125.774
4233.856,268.04536
6826.44,359.1772
6783.3328,725.9014
5346.53013333333,483.68
5999.12053333333,498.2652
6892.64266666667,296.2532
6968.44853333333,539.032
6982.17066666667,383.7224
7172.69066666667,892.5996
5933.7264,577.424
7103.9968,502.7382
6622.88106666667,635.2494
5707.02453333333,335.2856
7137.34346666667,524.7594
6514.8848,984.9354
4325.43306666667,204.76438
5801.71733333333,214.9182
6358.9904,448.0994
5418.13813333333,222.81356
6655.22666666667,211.6464
7054.20106666667,690.7194
4836.96266666667,672.9178
6822.288,429.518
7180.5072,818.579
6014.3376,448.0918
6535.89066666667,426.3944
7195.22346666667,663.4336
5822.74293333333,590.05802
5018.91306666667,269.69298
7156.1424,336.8634
4743.8448,709.0964
4746.69226666667,770.6134
4759.98506666667,941.8892
4775.42346666667,835.1658
3914.52373333333,566.7272
4677.67893333333,745.6804
4676.7936,615.0702
4763.0592,762.8024
4785.70933333333,1399
4727.23946666667,795.6506
4507.02133333333,684.8142
4613.6528,968.3892
7948.33813333333,98.76292
12145.3765333333,42.60474
13800.552,43.28746
13686.5712,43.2112
13583.3642666667,43.09768
13642.656,42.25156
12857.2784,41.86304
13643.5898666667,43.57474
13575.9904,43.23556
11846.808,40.91368
12763.8842666667,42.29074
12937.4117333333,43.19928
13347.9701333333,43.21174
12277.9994666667,41.47798
13710.1770666667,42.68544
13644.016,42.46702
13625.7125333333,42.18396
13604.5408,42.4
12969.3098666667,42.36846
13609.5413333333,43.35688
13549.4656,43.3941
11900.5248,41.24806
12715.8576,42.40778
13011.7632,43.43676
13184.8634666667,43.31808
12448.6896,41.87966
13656.0282666667,42.88
13647.9008,42.10124
13622.5205333333,43.28826
13519.1504,43.11682
13085.2442666667,42.92856
13530.2165333333,43.4279
13525.9781333333,43.15066
11992.4176,41.72262
12720.0170666667,43.4723
12616.6064,43.29556
13123.3648,43.15282
12602.648,42.9622
13566.5765333333,43.3756
13658.9349333333,43.36106
13661.3856,39.05112
