hls.throughput,hls.accuracy,hls.latency
14263.936,0.846921797,2307
14122.56,0.8489208633,2273
13835.296,0.8984310487,2257
13644.288,0.8587848933,2285
13603.68,0.8778501629,2299
13624.736,0.8732394366,2325
13508.928,0.8996539792,2345
13796.192,0.8824688116,2381
13754.08,0.8546895641,2405
14029.312,0.8775376555,2441
14006.752,0.8773006135,2465
13830.784,0.8588588589,2483
13650.304,0.8714462299,2500
13764.608,0.8566084788,2528
13740.544,0.875,2553
14390.272,0.8761363636,2607
14435.392,0.8479262673,2635
14722.656,0.8574752763,2671
14909.152,0.8674203494,2706
15167.84,0.8745119911,2741
15286.656,0.9042056075,2774
15167.84,0.827244582,2791
14636.928,0.8257668712,2792
14928.704,0.8276299113,2831
14978.336,0.8435599779,2857
14710.624,0.8553524804,2870
14961.792,0.865060241,2906
15098.656,0.864898211,2938
15492.704,0.8450029922,2984
15536.32,0.8882318155,3006
14979.84,0.844267727,3007
14611.36,0.866152768,3026
14812.896,0.8525252525,3051
14957.28,0.8464467005,2743
14961.792,0.8808864266,2418
14633.92,0.8580990629,2420
14676.032,0.8170391061,2447
14454.944,0.8376623377,2460
14411.328,0.8565629229,2486
14609.856,0.8528301887,2519
14519.616,0.8449612403,2540
14086.464,0.8060046189,2548
14280.48,0.8311390956,2581
14179.712,0.8262857143,2601
14254.912,0.8588445503,2630
14444.416,0.8507183011,2665
14585.792,0.806671721,2689
14248.896,0.8651778329,2702
14689.568,0.8743169399,2803
14124.064,0.8932806324,2748
14263.936,0.846921797,2780
14122.56,0.8489208633,2801
13835.296,0.8984310487,2813
13644.288,0.8587848933,2830
13603.68,0.8778501629,2854
13624.736,0.8732394366,2880
13508.928,0.8996539792,2905
13796.192,0.8824688116,2939
13754.08,0.8546895641,2965
14029.312,0.8775376555,3001
14006.752,0.8773006135,3033
13830.784,0.8588588589,2668
13650.304,0.8714462299,2293
13764.608,0.8566084788,2288
13740.544,0.875,2313
14390.272,0.8761363636,2367
14435.392,0.8479262673,2397
14722.656,0.8574752763,2436
14909.152,0.8674203494,2469
15167.84,0.8745119911,2506
15286.656,0.9042056075,2536
15167.84,0.827244582,2559
14636.928,0.8257668712,2563
14928.704,0.8276299113,2605
14978.336,0.8435599779,2634
14710.624,0.8553524804,2644
14961.792,0.865060241,2680
15098.656,0.864898211,2714
15492.704,0.8450029922,2754
15536.32,0.8882318155,2781
14979.84,0.844267727,2786
14611.36,0.866152768,2794
14812.896,0.8525252525,2830
14957.28,0.8464467005,2863
14961.792,0.8808864266,2887
14633.92,0.8580990629,2898
14676.032,0.8170391061,2927
14454.944,0.8376623377,2943
14411.328,0.8565629229,2966
14609.856,0.8528301887,3003
14519.616,0.8449612403,3026
14086.464,0.8060046189,3071
14280.48,0.8311390956,2734
14179.712,0.8262857143,2413
14254.912,0.8588445503,2385
14444.416,0.8507183011,2417
14585.792,0.806671721,2448
14248.896,0.8651778329,2468
14689.568,0.8743169399,2506
14124.064,0.8932806324,2502
14263.936,0.846921797,2538
14122.56,0.8489208633,2552
13835.296,0.8984310487,2564
13644.288,0.8587848933,2583
13603.68,0.8778501629,2602
13624.736,0.8732394366,2632
13508.928,0.8996539792,2650
13796.192,0.8824688116,2687
13754.08,0.8546895641,2714
14029.312,0.8775376555,2745
14006.752,0.8773006135,2768
13830.784,0.8588588589,2786
13650.304,0.8714462299,2807
13764.608,0.8566084788,2838
13740.544,0.875,2858
14390.272,0.8761363636,2908
14435.392,0.8479262673,2942
14722.656,0.8574752763,2972
14909.152,0.8674203494,3004
15167.84,0.8745119911,3045
15286.656,0.9042056075,3073
15167.84,0.827244582,3089
14636.928,0.8257668712,2764
