time,udp.throughput,udp.latency,udp.accuracy
5,12361.27056,33,0.765892653
10,13382.68712,33,0.790003048
15,13552.9468,33,0.784850498
20,13400.42472,33,0.785160039
25,13721.10424,33,0.833044769
30,13569.51528,33,0.858534323
35,13894.25224,33,0.871855038
40,13582.7316,33,0.879714172
45,13789.50992,33,0.898798906
50,12370.42552,33,0.881222707
55,12764.97888,33,0.895850692
60,13349.91064,33,0.901123596
65,13415.8424,33,0.911306866
70,13809.71184,33,0.901327434
75,13538.17832,33,0.892771661
80,13534.30384,33,0.885375494
85,14106.282,33,0.898617512
90,13508.3496,33,0.879337539
95,13615.88696,33,0.893832392
100,12354.86648,33,0.868794326
105,12761.15336,33,0.900083403
110,13415.68528,33,0.9
115,13569.57432,33,0.904738761
120,13559.3728,33,0.887604225
125,13791.79664,33,0.878867834
130,13556.38232,33,0.882860386
135,13570.85936,33,0.898116109
140,13776.42104,33,0.895171702
145,13580.66384,33,0.896909649
150,12353.69528,33,0.87872122
155,12771.34392,33,0.900651194
160,13579.43872,33,0.903089888
165,13397.5088,33,0.904112923
170,13571.32072,33,0.901521039
175,13929.36296,33,0.865768583
180,13482.05032,33,0.885904525
185,13657.4448,33,0.907108032
190,13755.2868,33,0.894074938
195,12539.30024,33,0.899399929
200,6688.60288,33,0.87133984
205,7363.52952,33,0.621988257
210,7752.43216,33,0.160796697
215,7355.55208,33,0.085900607
220,7710.3828,33,0.0039491
225,7621.20264,33,0.000472701
230,7592.39856,33,0.031547105
235,7497.8428,33,0.007097592
240,7742.24792,33,0.003142184
245,7227.88928,33,0
250,7087.84576,33,0.004710038
255,7464.55744,33,0.026258206
260,7567.50072,33,0.008613728
265,7228.93768,33,0.001934704
270,7743.77912,33,0
275,7499.45512,33,0.002860548
280,7763.7212,33,0.044709389
285,7720.9432,33,0.001540832
290,7882.0676,33,0.002101392
295,6972.34472,33,0.000474158
300,7092.58784,33,0.00637866
305,7495.1628,33,0.004013378
310,7581.64096,33,0.008333333
315,7749.16512,33,0.00999524
320,7442.81776,33,0.003472976
325,7608.51608,33,0.001430274
330,7603.97808,33,0.006882312
335,7712.48864,33,0.002606882
340,7461.3288,33,0.003135615
345,6704.92112,33,0
350,7180.7444,33,0.008153757
355,7619.15616,33,0.081529379
360,7346.802,33,0.016460905
365,7611.13752,33,0.01097852
370,7206.24168,33,0
375,5582.56696,33,0
380,5601.00184,33,0.083531275
385,5899.04696,33,0.003568697
390,5317.63896,33,0.001553197
395,5308.10544,33,0.006110458
400,5416.12824,33,0.006922411
405,5492.24512,33,0.091304348
410,5691.77832,33,0.078431373
415,5912.01944,33,0.044227089
420,5694.85312,33,0.03064861
425,5816.78136,33,0.037633285
430,10635.25544,33,0.031888951
435,13806.77384,33,0.008804449
440,12484.82944,33,0.014177215
445,12525.57608,33,0.44
450,13553.52424,33,0.702529391
455,13544.49776,33,0.895522388
460,13558.01224,33,0.903108881
465,13601.4392,33,0.900350284
470,13748.38744,33,0.88465352
475,13599.46544,33,0.880760438
480,13795.70008,33,0.887226567
485,13578.49744,33,0.908832277
490,12346.34824,33,0.885446498
495,12796.42168,33,0.892340526
500,13551.65224,33,0.869382864
505,13419.55128,33,0.899094871
510,13576.49256,33,0.90358588
515,13809.34576,33,0.911100432
520,13537.9204,33,0.902592388
525,13789.02072,33,0.892536241
530,13549.82056,33,0.887226567
535,13543.21696,33,0.908832277
540,12386.96768,33,0.883605487
545,12793.39576,33,0.853542151
550,13544.5124,33,0.82157805
555,13415.09976,33,0.899094871
560,13807.43424,33,0.90358588
565,13583.82128,33,0.910116405
570,13546.75352,33,0.898026678
575,14012.6076,33,0.891736527
580,13575.40232,33,0.763243243
585,13301.3412,33,0.804415974
590,12234.47944,33,0.78881743
595,12926.57408,33,0.821957041
600,13556.04032,33,0.762555626
605,13411.08864,33,0.886332882
610,13782.45456,33,0.903597527
615,13595.78296,33,0.907066796
620,13795.84208,33,0.891157989
625,13550.93448,33,0.868538378
